offsetNano,x,y,z
2241402211,1.7286072,-6.1123962,7.1299286
2246437611,1.4556732,-5.8155212,6.9048767
2251473011,1.2449799,-5.6431274,7.0030365
2256538929,1.201889,-5.6551056,7.395691
2261574330,1.2952576,-5.87059,7.728485
2266609730,1.4245453,-6.1961975,7.826645
2271645130,1.493988,-6.5960236,7.9272003
2276680531,1.529892,-6.926422,8.075638
2281746449,1.5442657,-7.132324,8.236053
2286781849,1.5490417,-7.3310394,8.48027
2291817250,1.5059509,-7.5848236,8.772354
2296852650,1.4269409,-7.8769226,8.95192
2301888050,1.391037,-8.087616,9.126694
2306953968,1.391037,-8.099579,9.39006
2311989369,1.4389191,-7.819458,9.658203
2317024769,1.4652557,-7.347809,9.897629
2322060170,1.4868011,-6.7707977,10.170563
2327095570,1.4891968,-6.1842194,10.3237915
2332161488,1.4389191,-5.676651,10.347748
2337196888,1.335968,-5.269638,10.330978
2342232289,1.1875305,-4.9583893,10.390839
2347267689,1.0654144,-4.7070007,10.500977
2352303089,0.9935913,-4.537018,10.599136
2357369007,0.91937256,-4.474762,10.637436
2362404408,0.8571167,-4.5082855,10.706863
2367439808,0.8930359,-4.6112366,10.745178
2372475209,0.9864044,-4.807556,10.737991
2377510609,1.1180878,-4.989517,10.532089
2382576527,1.2928619,-5.1762695,10.290283
2387611927,1.498764,-5.3893433,10.012558
2392647328,1.7310028,-5.628769,9.792282
2397682728,1.9632416,-5.8370667,9.720459
2402718128,2.173935,-5.9711456,9.703705
2407784046,2.3702545,-5.8969116,9.753983
2412819447,2.5570068,-5.566513,9.780319
2417854847,2.70784,-5.063736,9.742004
2422890248,2.7677002,-4.529831,9.605545
2427925648,2.6910858,-4.086899,9.435547
2432991566,2.4803925,-3.8163605,9.318237
2438026966,2.2194214,-3.6798859,9.323029
2443062367,2.008728,-3.624817,9.382874
2448097767,1.8650818,-3.6080627,9.368515
2453133168,1.6998901,-3.605667,9.435547
2458199086,1.572998,-3.667923,9.674973
2463234486,1.5035553,-3.7445374,9.959885
2468269886,1.4915924,-3.7876282,10.211273
2473305287,1.493988,-3.8283234,10.393234
2478340687,1.553833,-3.9791565,10.558426
2483406605,1.6783295,-4.220978,10.594345
2488442005,1.8339539,-4.371811,10.6158905
2493477406,1.980011,-4.383789,10.7332
2498512806,2.0901337,-4.2401276,10.821793
2503548207,2.1380157,-4.03183,10.685318
2508614125,2.0781708,-3.739746,10.29985
2513649525,1.8722687,-3.3854065,9.828201
2518684925,1.5969391,-2.9304962,9.524139
2523720326,1.3647003,-2.3582916,9.296692
2528786244,1.2114716,-1.845932,9.097961
2533821644,1.1037292,-1.4652557,9.021347
